Date,Open,High,Low,Close,Adj Close,Volume,volatility
2017-11-09,0.2179110050201416,0.221790999174118,0.2148659974336624,0.2174880057573318,0.2174880057573318,147916992,2.399456265791989e-05
2017-11-10,0.2182559967041015,0.2190680056810379,0.2052599936723709,0.2064830064773559,0.2064830064773559,141032992,4.1216399578560384e-05
2017-11-11,0.205947995185852,0.2144560068845749,0.2054589986801147,0.2104299962520599,0.2104299962520599,134503008,3.2828676084058114e-05
2017-11-12,0.2102140039205551,0.2102140039205551,0.1953890025615692,0.1973389983177185,0.1973389983177185,251175008,4.5193062797991605e-05
2017-11-13,0.1974720060825348,0.2040809988975525,0.1974560022354126,0.2034420073032379,0.2034420073032379,132567000,8.025754367542733e-06
2017-11-14,0.2036789953708648,0.2136929929256439,0.2036789953708648,0.2098249942064285,0.2098249942064285,127361000,3.560660625592452e-05
2017-11-15,0.2089370042085647,0.2131049931049347,0.2080579996109008,0.2129559963941574,0.2129559963941574,100294000,6.4395655000619985e-06
2017-11-16,0.2126549929380417,0.2717899978160858,0.2092870026826858,0.2271070033311844,0.2271070033311844,1022579968,0.0018934101806531364
2017-11-17,0.2247679978609085,0.2394089996814727,0.2202730029821396,0.2265810072422027,0.2265810072422027,397071008,0.0001830119847681813
2017-11-18,0.2265470027923584,0.2303989976644516,0.2223989963531494,0.2286269962787628,0.2286269962787628,144298000,3.0451540457408434e-05
2017-11-19,0.2281399965286255,0.2362309992313385,0.2260369956493377,0.231015995144844,0.231015995144844,193808000,4.8960222480210394e-05
2017-11-20,0.2313359975814819,0.2434300035238266,0.2309170067310333,0.2387589961290359,0.2387589961290359,214663008,5.7067057456901285e-05
2017-11-21,0.237977996468544,0.2409739941358566,0.2272000014781952,0.2332710027694702,0.2332710027694702,217851008,8.653970237586047e-05
2017-11-22,0.2326419949531555,0.2408480048179626,0.2323170006275177,0.2388589978218078,0.2388589978218078,167078000,2.1353921777516597e-05
2017-11-23,0.2389910072088241,0.2500959932804107,0.237304002046585,0.2424020022153854,0.2424020022153854,240684992,7.783907615736733e-05
2017-11-24,0.2428510040044784,0.245388001203537,0.2384209930896759,0.2446420043706894,0.2446420043706894,211486000,2.3212328142704497e-05
2017-11-25,0.2441779971122741,0.2556999921798706,0.243584007024765,0.2523930072784424,0.2523930072784424,212592992,4.7200258150088785e-05
2017-11-26,0.2529140114784241,0.2529140114784241,0.2485889941453933,0.2488179951906204,0.2488179951906204,133297000,2.796334670696115e-06
2017-11-27,0.2483049929141998,0.254732996225357,0.2478609979152679,0.2539269924163818,0.2539269924163818,196735008,1.1278562133696057e-05
2017-11-28,0.2540369927883148,0.3010840117931366,0.2534149885177612,0.2991519868373871,0.2991519868373871,720742976,0.00034071284209027106
2017-11-29,0.2978670001029968,0.2978670001029968,0.2394089996814727,0.2430640012025833,0.2430640012025833,541177984,0.0005350996139766161
2017-11-30,0.2464330047369003,0.2615239918231964,0.2295860052108764,0.2508780062198639,0.2508780062198639,270907008,0.0005041578163704556
2017-12-01,0.250351995229721,0.2588280141353607,0.239437997341156,0.2556990087032318,0.2556990087032318,182992000,0.00017790430070216588
2017-12-02,0.2556560039520263,0.2592180073261261,0.2507559955120086,0.2554920017719269,0.2554920017719269,118250000,3.5912767162748635e-05
2017-12-03,0.2555299997329712,0.2630720138549804,0.2473910003900528,0.2525579929351806,0.2525579929351806,134710000,0.0001199026362503132
2017-12-04,0.2529189884662628,0.2553620040416717,0.2471600025892257,0.2535710036754608,0.2535710036754608,104650000,3.372003868587359e-05
